대학,연도,카테고리,원래전형,개명후전형,학과,모집,경쟁률,등급50,등급70
경일대,2026,종합,교과(계약학과),교과(계약학과),에너지솔루션학과,10,,,
경일대,2026,종합,교과(계약학과),교과(계약학과),에너지솔루션학과,15,,,
국립순천대,2022,교과,교과(일반),교과(일반전형),간호학과,12,15.166666666666666,3.4,3.76
국립순천대,2022,교과,교과(전국인재),교과(일반전형),간호학과,17,12.058823529411764,3.13,3.19
국립순천대,2022,교과,교과(일반),교과(일반전형),건축학부,3,12.333333333333334,3.73,4.14
국립순천대,2022,교과,교과(전국인재),교과(일반전형),건축학부,5,4.2,5.31,6.08
국립순천대,2022,교과,교과(일반),교과(일반전형),경영학과,6,10.166666666666666,4.35,4.82
국립순천대,2022,교과,교과(전국인재),교과(일반전형),경영학과,7,6.714285714285714,4.39,4.65
국립순천대,2022,교과,교과(일반),교과(일반전형),경제무역학부,10,3.2,5.27,5.69
국립순천대,2022,교과,교과(전국인재),교과(일반전형),경제무역학부,16,4.25,5.41,5.67
국립순천대,2022,교과,교과(일반),교과(일반전형),공공인재학부,14,2.857142857142857,4.53,4.86
국립순천대,2022,교과,교과(전국인재),교과(일반전형),공공인재학부,8,5,4.45,4.77
국립순천대,2022,교과,교과(일반),교과(일반전형),국어교육과,3,5,2.99,3.28
국립순천대,2022,교과,교과(전국인재),교과(일반전형),국어교육과,7,3.5714285714285716,3.07,3.99
국립순천대,2022,교과,교과(일반),교과(일반전형),기계우주항공공학부,10,2.9,5.41,5.65
국립순천대,2022,교과,교과(전국인재),교과(일반전형),기계우주항공공학부,21,2.9523809523809526,5.04,5.34
국립순천대,2022,교과,교과(일반),교과(일반전형),농생명과학과,10,5.7,5.11,6.15
국립순천대,2022,교과,교과(전국인재),교과(일반전형),농생명과학과,18,3.9444444444444446,5.48,5.87
국립순천대,2022,교과,교과(일반),교과(일반전형),농업경제학과,3,5,5.19,5.37
국립순천대,2022,교과,교과(전국인재),교과(일반전형),농업경제학과,5,3,5.23,5.42
국립순천대,2022,교과,교과(일반),교과(일반전형),농업교육과,2,6.5,3.98,4.08
국립순천대,2022,교과,교과(전국인재),교과(일반전형),농업교육과,3,6.333333333333333,1.63,1.79
국립순천대,2022,교과,교과(일반),교과(일반전형),동물자원과학과,3,11.333333333333334,3.66,4.09
국립순천대,2022,교과,교과(전국인재),교과(일반전형),동물자원과학과,6,6.5,4.87,5.6
국립순천대,2022,교과,교과(일반),교과(일반전형),문예창작학과,5,6.2,5.53,5.86
국립순천대,2022,교과,교과(전국인재),교과(일반전형),문예창작학과,9,4.888888888888889,5.07,5.39
국립순천대,2022,교과,교과(일반),교과(일반전형),물류학과,4,3,4.04,5.42
국립순천대,2022,교과,교과(전국인재),교과(일반전형),물류학과,6,3,5.61,5.75
국립순천대,2022,교과,교과(일반),교과(일반전형),바이오한약자원학과,5,3.6,6.44,6.49
국립순천대,2022,교과,교과(전국인재),교과(일반전형),바이오한약자원학과,6,2.8333333333333335,,
국립순천대,2022,교과,교과(일반),교과(일반전형),사학과,4,3.25,5.6,5.91
국립순천대,2022,교과,교과(전국인재),교과(일반전형),사학과,3,3.6666666666666665,,
국립순천대,2022,교과,교과(일반),교과(일반전형),사회교육과,2,6.5,2.74,2.84
국립순천대,2022,교과,교과(전국인재),교과(일반전형),사회교육과,5,5.8,2.81,3.06
국립순천대,2022,교과,교과(일반),교과(일반전형),사회복지학과,5,13.8,4.26,4.43
국립순천대,2022,교과,교과(전국인재),교과(일반전형),사회복지학과,10,7.1,4.17,4.31
국립순천대,2022,교과,교과(일반),교과(일반전형),산림자원.조경학부,10,7,4.85,5.54
국립순천대,2022,교과,교과(전국인재),교과(일반전형),산림자원.조경학부,13,4.769230769230769,5.27,5.7
